model,dataset,split,WER,CER
facebook/hubert-large-ls960-ft,mozilla-foundation/common_voice_16_1,test,0.38212290502793295,0.1454035649909874
facebook/hubert-large-ls960-ft,openslr/librispeech_asr-test.clean,test.clean,0.019251336898395723,0.005824462743522796
facebook/hubert-large-ls960-ft,openslr/librispeech_asr-test.other,test.other,0.043202033036848796,0.012378764675855029
facebook/hubert-large-ls960-ft,edinburghcstr/ami-ihm,test,0.4650735294117647,0.27833078101071973
facebook/hubert-large-ls960-ft,edinburghcstr/ami-sdm,test,0.7586837294332724,0.52455871066769
facebook/hubert-large-ls960-ft,distil-whisper/earnings22,test,0.41952165481577247,0.18635905476537126
facebook/hubert-large-ls960-ft,facebook/voxpopuli,test,0.21422955974842767,0.10713239601640305
facebook/hubert-large-ls960-ft,google/fleurs,test,0.1456859971711457,0.06545307443365696
facebook/hubert-large-ls960-ft,MLCommons/peoples_speech,test[:100],0.24384659416141957,0.13079507278835387
openai/whisper-large-v3,mozilla-foundation/common_voice_16_1,test,0.1553072625698324,0.06909673542960144
openai/whisper-large-v3,openslr/librispeech_asr-test.clean,test.clean,0.10481283422459893,0.025607551717212292
openai/whisper-large-v3,openslr/librispeech_asr-test.other,test.other,0.18614993646759848,0.05806533945890761
openai/whisper-large-v3,edinburghcstr/ami-ihm,test,1.0955882352941178,0.9341500765696784
openai/whisper-large-v3,edinburghcstr/ami-sdm,test,0.6398537477148081,0.4478127398311589
openai/whisper-large-v3,distil-whisper/earnings22,test,0.22495151906916613,0.11569044685855079
openai/whisper-large-v3,facebook/voxpopuli,test,0.2716194968553459,0.13503222026947861
openai/whisper-large-v3,google/fleurs,test,0.14757190004714757,0.040453074433656956
openai/whisper-large-v3,MLCommons/peoples_speech,test[:100],0.21293646250715512,0.09003359462486002
ibm-granite/granite-speech-3.3-8b,mozilla-foundation/common_voice_16_1,test,0.08491620111731843,0.05027037852994192
ibm-granite/granite-speech-3.3-8b,openslr/librispeech_asr-test.clean,test.clean,0.013368983957219251,0.0038160273147218315
ibm-granite/granite-speech-3.3-8b,openslr/librispeech_asr-test.other,test.other,0.03875476493011436,0.013272077590607452
ibm-granite/granite-speech-3.3-8b,edinburghcstr/ami-ihm,test,0.0974264705882353,0.06240428790199081
ibm-granite/granite-speech-3.3-8b,edinburghcstr/ami-sdm,test,0.3930530164533821,0.3656945510360706
ibm-granite/granite-speech-3.3-8b,distil-whisper/earnings22,test,0.27149321266968324,0.09676335535894277
ibm-granite/granite-speech-3.3-8b,facebook/voxpopuli,test,0.23663522012578617,0.16644698301113064
